inning_number,half,out,runner_on_1b,runner_on_2b,runner_on_3b,score_diff,total_games,home_wins,win_expectancy
2,bot,3,0,1,0,-2,25,4,0.16
2,bot,3,0,1,1,1,25,16,0.64
2,bot,3,0,0,0,4,24,21,0.875
2,bot,3,1,0,0,-4,22,3,0.13636363636363635
2,bot,3,1,1,0,-3,22,3,0.13636363636363635
2,bot,3,1,1,0,3,21,15,0.7142857142857143
2,bot,3,1,0,0,4,18,18,1.0
2,bot,3,1,0,1,-1,18,8,0.4444444444444444
2,bot,3,1,0,1,1,18,7,0.3888888888888889
2,bot,3,1,0,1,2,18,14,0.7777777777777778
2,bot,3,0,0,1,2,17,13,0.7647058823529411
2,bot,3,0,0,1,4,17,14,0.8235294117647058
2,bot,3,1,0,1,-2,17,4,0.23529411764705882
2,bot,3,1,1,0,4,17,15,0.8823529411764706
2,bot,3,1,1,1,-1,16,9,0.5625
2,bot,3,0,0,1,3,15,11,0.7333333333333333
2,bot,3,0,0,0,-5,14,1,0.07142857142857142
2,bot,3,0,0,0,5,14,13,0.9285714285714286
2,bot,3,0,0,1,-1,14,6,0.42857142857142855
2,bot,3,1,0,1,3,14,13,0.9285714285714286
2,bot,3,0,1,0,4,13,12,0.9230769230769231
2,bot,3,0,1,1,-1,13,7,0.5384615384615384
2,bot,3,1,1,1,-2,13,3,0.23076923076923078
2,bot,3,0,1,0,-3,12,5,0.4166666666666667
2,bot,3,0,1,1,2,11,7,0.6363636363636364
2,bot,3,1,1,1,2,11,7,0.6363636363636364
2,bot,3,0,1,1,3,10,10,1.0
2,bot,3,1,0,0,-5,10,0,0.0
2,bot,3,1,0,0,5,10,9,0.9
2,bot,3,0,0,1,-2,9,1,0.1111111111111111
2,bot,3,1,1,0,-4,9,0,0.0
2,bot,3,1,1,0,5,9,7,0.7777777777777778
2,bot,3,1,1,1,3,9,6,0.6666666666666666
2,bot,3,1,0,1,-4,5,0,0.0
2,bot,3,1,0,1,4,5,4,0.8
2,bot,3,1,1,0,-5,5,2,0.4
2,bot,3,0,0,1,-3,4,1,0.25
2,bot,3,0,1,0,-5,4,0,0.0
2,bot,3,0,1,1,-4,4,0,0.0
2,bot,3,0,1,1,4,4,3,0.75
2,bot,3,1,0,1,-3,4,1,0.25
2,bot,3,1,1,1,-3,4,1,0.25
2,bot,3,1,1,1,4,4,4,1.0
2,bot,3,0,0,1,-4,3,2,0.6666666666666666
2,bot,3,0,1,0,-4,3,0,0.0
2,bot,3,0,1,0,5,3,3,1.0
2,bot,3,0,1,1,-3,3,1,0.3333333333333333
2,bot,3,1,0,1,5,3,1,0.3333333333333333
2,bot,3,0,0,1,-5,2,0,0.0
2,bot,3,0,0,1,5,2,2,1.0
2,bot,3,0,1,1,-2,2,1,0.5
2,bot,3,1,0,1,-5,2,1,0.5
2,bot,3,1,1,1,5,2,2,1.0
2,bot,3,0,1,1,-5,1,0,0.0
2,bot,3,0,1,1,5,1,1,1.0
2,bot,3,1,1,1,-5,1,0,0.0
2,top,0,1,0,0,0,484,206,0.4256198347107438
2,top,0,1,0,0,-1,138,43,0.3115942028985507
2,top,0,1,1,0,0,121,50,0.4132231404958678
2,top,0,1,0,0,1,119,61,0.5126050420168067
2,top,0,0,1,0,0,86,36,0.4186046511627907
2,top,0,1,0,0,2,73,53,0.726027397260274
2,top,0,1,0,0,-2,53,10,0.18867924528301888
2,top,0,1,1,0,-1,53,17,0.32075471698113206
2,top,0,0,0,0,-1,45,13,0.28888888888888886
2,top,0,1,0,0,3,37,26,0.7027027027027027
2,top,0,1,1,0,1,36,17,0.4722222222222222
2,top,0,1,0,1,0,35,11,0.3142857142857143
2,top,0,1,0,0,-3,33,4,0.12121212121212122
2,top,0,1,1,1,0,26,8,0.3076923076923077
2,top,0,0,1,0,-1,24,10,0.4166666666666667
2,top,0,0,1,0,1,19,9,0.47368421052631576
2,top,0,1,0,0,-4,19,2,0.10526315789473684
2,top,0,0,0,0,-2,18,4,0.2222222222222222
2,top,0,0,1,1,0,17,6,0.35294117647058826
2,top,0,0,1,0,2,16,11,0.6875
2,top,0,1,1,0,2,16,14,0.875
2,top,0,1,1,0,-2,15,3,0.2
2,top,0,0,0,0,0,14,6,0.42857142857142855
2,top,0,0,0,0,-3,13,3,0.23076923076923078
2,top,0,1,0,0,4,13,8,0.6153846153846154
2,top,0,0,1,0,-2,12,4,0.3333333333333333
2,top,0,1,0,1,-1,11,2,0.18181818181818182
2,top,0,1,1,0,-3,11,2,0.18181818181818182
2,top,0,1,1,1,-1,10,3,0.3
2,top,0,0,0,0,-4,9,1,0.1111111111111111
2,top,0,0,0,1,0,9,3,0.3333333333333333
2,top,0,1,0,1,2,9,6,0.6666666666666666
2,top,0,1,1,1,-2,8,1,0.125
2,top,0,0,1,0,-3,7,1,0.14285714285714285
2,top,0,0,1,1,-1,6,1,0.16666666666666666
2,top,0,1,0,1,1,6,2,0.3333333333333333
2,top,0,1,1,0,-4,6,0,0.0
2,top,0,1,1,1,-3,6,1,0.16666666666666666
2,top,0,0,0,0,1,5,4,0.8
2,top,0,0,1,1,-2,5,0,0.0
2,top,0,1,0,0,-5,5,0,0.0
2,top,0,1,1,1,1,5,1,0.2
2,top,0,0,1,0,-4,4,0,0.0
2,top,0,0,1,0,3,4,3,0.75
2,top,0,1,0,1,-4,4,0,0.0
2,top,0,1,0,1,-2,4,0,0.0
2,top,0,1,1,0,3,4,3,0.75
2,top,0,1,1,0,4,4,2,0.5
2,top,0,0,0,0,2,3,2,0.6666666666666666
2,top,0,0,1,1,-3,3,0,0.0
2,top,0,0,1,1,1,3,2,0.6666666666666666
2,top,0,0,1,1,2,3,1,0.3333333333333333
2,top,0,1,0,0,5,3,3,1.0
2,top,0,1,0,1,-3,3,1,0.3333333333333333
2,top,0,1,1,1,-5,3,0,0.0
2,top,0,1,1,1,-4,3,0,0.0
2,top,0,1,1,1,2,3,2,0.6666666666666666
2,top,0,0,0,0,4,2,2,1.0
2,top,0,0,0,0,5,2,1,0.5
2,top,0,0,0,1,-2,2,1,0.5
2,top,0,0,0,1,-1,2,2,1.0
2,top,0,0,0,1,1,2,2,1.0
2,top,0,0,0,1,2,2,1,0.5
2,top,0,0,1,0,5,2,2,1.0
2,top,0,0,1,1,-5,2,0,0.0
2,top,0,1,1,0,-5,2,0,0.0
2,top,0,0,0,0,3,1,1,1.0
2,top,0,0,0,1,-5,1,0,0.0
2,top,0,0,0,1,3,1,1,1.0
2,top,0,0,1,0,4,1,1,1.0
2,top,0,0,1,1,4,1,1,1.0
2,top,0,1,0,1,-5,1,0,0.0
2,top,0,1,0,1,3,1,0,0.0
2,top,0,1,0,1,4,1,1,1.0
2,top,0,1,1,0,5,1,1,1.0
2,top,0,1,1,1,4,1,1,1.0
2,top,0,1,1,1,5,1,1,1.0
2,top,1,0,0,0,0,1250,589,0.4712
2,top,1,1,0,0,0,548,232,0.4233576642335766
2,top,1,0,0,0,-1,317,112,0.35331230283911674
2,top,1,0,0,0,1,308,177,0.5746753246753247
2,top,1,0,0,0,-2,180,57,0.31666666666666665
2,top,1,1,1,0,0,169,64,0.378698224852071
2,top,1,0,0,0,2,157,112,0.7133757961783439
2,top,1,1,0,0,-1,149,44,0.2953020134228188
2,top,1,1,0,0,1,135,66,0.4888888888888889
2,top,1,0,1,0,0,134,51,0.3805970149253731
2,top,1,1,1,0,-1,88,27,0.3068181818181818
2,top,1,0,0,0,-3,83,15,0.18072289156626506
2,top,1,0,0,0,3,82,65,0.7926829268292683
2,top,1,1,0,0,-2,82,19,0.23170731707317074
2,top,1,1,0,0,2,78,56,0.717948717948718
2,top,1,1,0,1,0,65,16,0.24615384615384617
2,top,1,0,1,0,-1,63,21,0.3333333333333333
2,top,1,1,1,1,0,52,17,0.3269230769230769
2,top,1,0,1,1,0,51,25,0.49019607843137253
2,top,1,1,0,0,-3,51,10,0.19607843137254902
2,top,1,1,1,0,1,49,25,0.5102040816326531
2,top,1,1,0,0,3,48,38,0.7916666666666666
2,top,1,0,0,0,4,44,39,0.8863636363636364
2,top,1,0,0,0,-4,40,5,0.125
2,top,1,0,1,0,-2,38,14,0.3684210526315789
2,top,1,0,0,1,0,37,21,0.5675675675675675
2,top,1,1,1,1,-1,37,13,0.35135135135135137
2,top,1,1,1,0,2,32,23,0.71875
2,top,1,1,0,1,-1,31,11,0.3548387096774194
2,top,1,1,0,0,-4,30,2,0.06666666666666667
2,top,1,1,1,0,-2,30,4,0.13333333333333333
2,top,1,0,0,1,-1,26,7,0.2692307692307692
2,top,1,0,1,0,1,26,11,0.4230769230769231
2,top,1,0,1,1,-1,26,8,0.3076923076923077
2,top,1,0,1,0,2,23,18,0.782608695652174
2,top,1,1,0,0,4,21,17,0.8095238095238095
2,top,1,0,1,1,1,20,10,0.5
2,top,1,0,1,0,-3,19,5,0.2631578947368421
2,top,1,1,0,1,-2,19,4,0.21052631578947367
2,top,1,1,0,1,1,19,10,0.5263157894736842
2,top,1,0,0,0,5,18,16,0.8888888888888888
2,top,1,0,0,0,-5,15,0,0.0
2,top,1,1,0,1,-3,14,4,0.2857142857142857
2,top,1,0,1,1,-2,13,1,0.07692307692307693
2,top,1,1,1,0,-4,13,1,0.07692307692307693
2,top,1,1,1,0,-3,13,3,0.23076923076923078
2,top,1,1,1,1,1,13,7,0.5384615384615384
2,top,1,0,0,1,-3,12,2,0.16666666666666666
2,top,1,0,1,1,-3,12,1,0.08333333333333333
2,top,1,1,1,0,3,12,9,0.75
2,top,1,1,1,0,4,12,7,0.5833333333333334
2,top,1,1,1,1,-3,12,2,0.16666666666666666
2,top,1,1,1,1,-2,12,2,0.16666666666666666
2,top,1,0,0,1,-2,11,3,0.2727272727272727
2,top,1,0,1,0,-4,11,2,0.18181818181818182
2,top,1,1,0,1,2,11,7,0.6363636363636364
2,top,1,1,1,1,-4,9,1,0.1111111111111111
2,top,1,1,1,1,2,9,9,1.0
2,top,1,0,0,1,1,8,6,0.75
2,top,1,0,1,1,2,8,5,0.625
